-3670 12381
8443 1206
5501 14081
12058 -3921
-16901 5539
-6605 10267
2023 -7020
-342 -449
19409 14937
-2280 -3790
-22276 -5526
1602 11123
-18688 -393
5608 -13647
721 -14614
-1651 -4171
-3775 -2862
22172 -4442
7491 3878
-2175 8246
-6523 -3804
-2991 -2387
10625 -7879
18695 9784
4351 -11212
8070 17096
5046 917
-15870 6790
-4017 13478
-11550 7909
-10291 -5530
-5026 2518
-25294 -15733
-3969 8477
9454 9300
2396 1254
-5402 4556
-5223 7663
-10982 -6245
-5026 -132
-683 1842
5091 2082
11797 -9491
3939 3217
-568 -10029
-10793 2271
3259 -4523
-2515 -1725
2736 732
2184 5187
8336 -1246
13440 2387
-5948 11372
158 12175
654 -458
-3597 1892
16767 -13525
-4395 7662
2449 -8642
7389 -5525
4619 8823
-895 4311
-5757 -10416
4921 10241
-1437 5011
-5677 13248
17781 3367
10364 9683
12826 -4557
-3946 21401
10108 23199
790 -4806
-20976 -11191
-12531 1897
7311 -15758
3341 -1709
2862 -1092
11419 9074
14506 -15574
1985 678
634 -278
21674 -18749
4704 -3266
2084 6859
-424 -6110
-5058 4574
-2083 8549
-13330 -482
-22687 13882
-15934 3701
2095 -9177
10415 -152
12218 9117
20673 3370
-11192 6225
8356 5110
-2665 2991
-5055 -17331
-973 -12025
13813 -6992
13054 -13904
-9651 -8281
11657 9247
6199 8942
-5433 11490
-12062 3671
-8455 -8052
-10218 -1347
1314 -5528
-2467 10586
-4417 -9012
-2824 10477
-9099 4147
-20609 2662
-8006 -11871
-3210 -5470
-10180 -5351
13715 -14533
-14062 6103
5756 7186
-3040 -3910
-4591 11189
5328 -16926
-578 -5456
2139 -3484
-3234 -3166
12030 97
7114 11012
736 -2462
-2591 2086
-244 -6258
2330 -6334
3298 11354
7922 -8263
-3300 6907
1600 1422
3879 1315
-8570 -17423
-1575 5492
-588 -3534
15197 -7917
10824 -829
16206 1924
9542 22085
8910 -2462
-4343 717
-4257 4639
-10032 15250
1182 -313
27034 7634
2155 6551
-122 8295
5279 13760
-18174 20832
4561 -1067
-10898 -8129
5065 -5543
6530 -8778
6096 -22991
468 146
8024 5600
10833 1691
4360 1505
9896 11623
-12998 -322
1513 -1353
-8881 -4956
3422 -1303
4582 4587
-10395 6330
4598 5941
-11348 12746
188 6664
-4544 -17228
-4369 9413
-2064 -11624
-8516 22462
15301 3613
-21610 -2256
-12649 -17989
-17748 -6022
-9607 10089
-19504 -5476
11247 -2542
5107 -6435
-7628 -3032
-14118 1798
-17309 7200
-8935 -17762
-22351 2812
1839 -8327
135 3963
-1228 -746
6218 -2643
1252 5754
-6521 3909
-3108 14184
-2144 -17144
-2711 -12245
15744 -14569
17862 -4962
6700 -478
-6199 2292
-11193 1736
-1192 -1000
-5824 -1576
-8835 2350
1690 8484
-8561 -2468
3879 18944
-15559 11736
-26108 13612
-8322 -8720
-14384 -19979
10533 -3989
13293 -4188
-573 -19793
-2409 -14315
2913 4948
-669 12355
11583 14364
-4452 -7597
10183 3700
12833 3468
26046 -361
1049 -6109
-1906 -3737
13068 13254
-11665 -9497
-23017 -1080
-5812 -1335
641 4297
-3292 -8591
-628 -15667
-8990 2229
16340 -5171
841 16512
-7023 -8417
1916 -1904
8307 12898
-4733 5036
8672 -1302
2481 7044
18490 27053
1509 19363
-13310 -5958
-6226 3960
-656 8380
16092 -15912
620 475
6281 -593
10726 4548
2237 -4455
-12135 -15013
-6661 -11686
-9247 10715
6277 -8301
17530 -14421
6489 9903
15892 9154
-1673 -3369
2431 14236
-3118 13058
11934 -5872
1647 3659
8027 -4320
-97 11688
-3088 -7438
3303 1909
-10836 12360
-18420 1866
-9845 3530
8681 9980
-4932 -10519
4153 -15415
-816 10552
-13733 -3725
2068 4649
14432 -3503
-4306 -14051
-10485 -10804
-6541 8088
7966 -5497
2347 75
13317 7605
-1055 17428
-20947 8162
-9662 1817
-314 -7231
4184 2076
9483 -22316
9627 -13265
11094 5701
17027 5099
11599 -9736
-1993 4186
-7520 644
-3418 -16126
8854 -6759
16586 10024
5244 -4296
19236 -7809
-3572 7516
-5034 942
-6744 321
-9282 4058
5815 -1855
-1087 -4530
17867 -8272
863 -4101
14543 -4770
-25901 -2271
-3362 15135
-3370 -2781
14050 -11617
3623 -8298
20241 -2859
22480 1021
-603 4658
-8282 12826
6995 -435
-8515 3487
-1677 -6947
-2908 -18059
4991 -5060
9543 15389
8430 2790
-337 15702
-13481 10382
-14587 -3712
-4023 14096
-22725 2386
-10355 2391
-11204 -11464
18 -6433
5568 6719
19671 11483
-2292 -1092
-10875 11508
-2903 -5992
8380 2111
15605 -1126
2684 12395
4082 3292
10448 6899
-1573 -7524
-4559 4983
-7446 -108
-5539 2044
9484 906
-3322 -5826
-136 7818
-11190 25272
690 -4695
-3090 5763
322 -10633
-108 -15079
-2337 -15912
5937 2135
-4466 1445
1444 11744
21126 3225
12974 -6838
5297 -864
2901 -1683
8539 4238
6263 -9735
10535 -12496
10362 9459
-12602 -1543
-8230 -1714
-7451 3304
-10070 -4984
-10171 -5373
13304 4432
